trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
320,False,"{'a': 0.5, 'e': 0.14488699046945286}",20,0,26.754586033554425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
321,False,"{'a': 0.5, 'e': 0.14401766852663614}",25,15,17.179860435105567,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.1431535625154763}",20,0,26.62738175392883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
323,False,"{'a': 0.5, 'e': 0.14229464114038345}",20,0,29.309695411673495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
324,False,"{'a': 0.5, 'e': 0.14144087329354116}",20,16,6.366597024167387,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.1405922280537799}",20,10,15.95473927602136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.13974867468545724}",20,9,20.796261648639202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.1389101826373445}",25,2,30.66952056881771,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.13807672154152043}",20,4,23.69574899693801,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.1372482612122713}",20,0,28.07233088843188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
330,False,"{'a': 0.5, 'e': 0.13642477164499767}",20,1,28.70548508495363,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.13560622301512767}",30,14,28.87297012148755,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
